date,price,term
2017-06-07,213.0787353515625,term1
2017-06-08,213.18370056152344,term1
2017-06-09,212.86012268066406,term1
2017-06-12,212.8163604736328,term1
2017-06-13,213.8569793701172,term1
2017-06-14,213.58592224121094,term1
2017-06-15,213.17489624023438,term1
2017-06-16,213.22149658203125,term1
2017-06-19,214.99658203125,term1
2017-06-20,213.54661560058594,term1
2017-06-21,213.493896484375,term1
2017-06-22,213.39723205566406,term1
2017-06-23,213.65206909179688,term1
2017-06-26,213.79266357421875,term1
2017-06-27,212.07029724121094,term1
2017-06-28,213.9684295654297,term1
2017-06-29,212.087890625,term1
2017-06-30,212.4833221435547,term1
2017-07-03,212.84364318847656,term1
2017-07-05,213.33575439453125,term1
2017-07-06,211.3849334716797,term1
2017-07-07,212.7557373046875,term1
2017-07-10,212.98422241210938,term1
2017-07-11,212.82601928710938,term1
2017-07-12,214.4253692626953,term1
2017-07-13,214.78565979003906,term1
2017-07-14,215.7874298095703,term1
2017-07-17,215.76107788085938,term1
2017-07-18,215.8753662109375,term1
2017-07-19,217.04409790039062,term1
2017-07-20,217.14073181152344,term1
2017-07-21,216.94740295410156,term1
2017-07-24,216.89463806152344,term1
2017-07-25,217.4219512939453,term1
2017-07-26,217.4307403564453,term1
2017-07-27,217.22862243652344,term1
2017-07-28,216.97381591796875,term1
2017-07-31,216.85073852539062,term1
2017-08-01,217.33407592773438,term1
2017-08-02,217.43951416015625,term1
2017-08-03,217.01771545410156,term1
2017-08-04,217.4131317138672,term1
2017-08-07,217.81735229492188,term1
2017-08-08,217.2813262939453,term1
2017-08-09,217.2725372314453,term1
2017-08-10,214.2056884765625,term1
2017-08-11,214.52198791503906,term1
2017-08-14,216.6485595703125,term1
2017-08-15,216.62225341796875,term1
2017-08-16,217.0001678466797,term1
2017-08-17,213.6168975830078,term1
2017-08-18,213.28302001953125,term1
2017-08-21,213.449951171875,term1
2017-08-22,215.6820068359375,term1
2017-08-23,214.90872192382812,term1
2017-08-24,214.40782165527344,term1
2017-08-25,214.90872192382812,term1
2017-08-28,214.9175262451172,term1
2017-08-29,215.16357421875,term1
2017-08-30,216.182861328125,term1
2017-08-31,217.48345947265625,term1
2017-09-01,217.79104614257812,term1
2017-09-05,216.226806640625,term1
2017-09-06,216.9649658203125,term1
2017-09-07,216.93861389160156,term1
2017-09-08,216.68374633789062,term1
2017-09-11,218.9949188232422,term1
2017-09-12,219.7330780029297,term1
2017-09-13,219.8385467529297,term1
2017-09-14,219.76820373535156,term1
2017-09-15,220.06407165527344,term1
2017-09-18,220.53211975097656,term1
2017-09-19,220.7528839111328,term1
2017-09-20,220.83238220214844,term1
2017-09-21,220.24066162109375,term1
2017-09-22,220.28480529785156,term1
2017-09-25,219.83445739746094,term1
2017-09-26,219.96694946289062,term1
2017-09-27,220.8235626220703,term1
2017-09-28,221.08848571777344,term1
2017-09-29,221.8656005859375,term1
2017-10-02,222.8282012939453,term1
2017-10-03,223.30511474609375,term1
2017-10-04,223.570068359375,term1
2017-10-05,224.89474487304688,term1
2017-10-06,224.63864135742188,term1
2017-10-09,224.26768493652344,term1
2017-10-10,224.85939025878906,term1
2017-10-11,225.21266174316406,term1
2017-10-12,224.87709045410156,term1
2017-10-13,225.15078735351562,term1
2017-10-16,225.45108032226562,term1
2017-10-17,225.6100311279297,term1
2017-10-18,225.830810546875,term1
2017-10-19,225.89259338378906,term1
2017-10-20,227.058349609375,term1
2017-10-23,226.17527770996094,term1
2017-10-24,226.5726318359375,term1
2017-10-25,225.45108032226562,term1
2017-10-26,225.74252319335938,term1
2017-10-27,227.58824157714844,term1
2017-10-30,226.7404327392578,term1
2017-10-31,227.09365844726562,term1
2017-11-01,227.39393615722656,term1
