day,negative,neutral,positive,total,positive_ratio,negative_ratio,neutral_ratio,date,price,prev_return,rolling_std,return,high_volatility,positive_ratio_lag1,negative_ratio_lag1,neutral_ratio_lag1,total_lag1
2017-04-25,1,4,0,5,0.0,0.2,0.8,2017-04-25,208.6100616455078,0.0109980150272412,0.0062279105196017,0.0058186277899823224,0,0.1666666666666666,0.1666666666666666,0.6666666666666666,6.0
2017-04-26,2,6,1,9,0.1111111111111111,0.2222222222222222,0.6666666666666666,2017-04-26,208.4788818359375,0.0058186277899823,0.0059629917018967,-0.0006288278165279548,0,0.0,0.2,0.8,5.0
2017-04-27,2,8,2,12,0.1666666666666666,0.1666666666666666,0.6666666666666666,2017-04-27,208.65377807617188,-0.0006288278165279,0.0056515643689286,0.0008389158589789947,0,0.1111111111111111,0.2222222222222222,0.6666666666666666,9.0
2017-04-28,1,2,1,4,0.25,0.25,0.5,2017-04-28,208.1990966796875,0.0008389158589789,0.0053983842812264,-0.0021791189245486953,0,0.1666666666666666,0.1666666666666666,0.6666666666666666,12.0
2017-05-01,0,2,0,2,0.0,0.0,1.0,2017-05-01,208.72373962402344,-0.0021791189245486,0.0030797733337811,0.0025199098012567145,0,0.25,0.25,0.5,4.0
2017-05-02,1,3,0,4,0.0,0.25,0.75,2017-05-02,208.8024444580078,0.0025199098012567,0.0017441097586399,0.0003770765803934317,0,0.0,0.0,1.0,2.0
2017-05-03,0,2,2,4,0.5,0.0,0.5,2017-05-03,208.54881286621097,0.0003770765803934,0.0018300651687042,-0.001214696468018861,0,0.0,0.25,0.75,4.0
2017-05-04,1,7,2,10,0.2,0.1,0.7,2017-05-04,208.7937164306641,-0.0012146964680188,0.0018710567074963,0.0011743225055431683,0,0.5,0.0,0.5,4.0
2017-05-05,0,3,6,9,0.6666666666666666,0.0,0.3333333333333333,2017-05-05,209.61569213867188,0.0011743225055431,0.001975782943197,0.003936783740715377,0,0.2,0.1,0.7,10.0
2017-05-08,0,9,1,10,0.1,0.0,0.9,2017-05-08,209.5807647705078,0.0039367837407153,0.0019461164609643,-0.0001666257321085718,0,0.6666666666666666,0.0,0.3333333333333333,9.0
2017-05-09,0,0,2,2,1.0,0.0,0.0,2017-05-09,209.3883514404297,-0.0001666257321085,0.0021001372724787,-0.0009180867828629813,0,0.1,0.0,0.9,10.0
