day,negative,neutral,positive,total,positive_ratio,negative_ratio,neutral_ratio,date,price,prev_return,rolling_std
2020-05-21,3,16,3,22,0.1363636363636363,0.1363636363636363,0.7272727272727273,2020-05-21,273.36517333984375,0.016988282298656898,0.01693734706977559
2020-05-22,3,32,10,45,0.2222222222222222,0.0666666666666666,0.7111111111111111,2020-05-22,273.8843078613281,-0.006904064610887217,0.017074425187560176
2020-05-26,2,13,3,18,0.1666666666666666,0.1111111111111111,0.7222222222222222,2020-05-26,277.25872802734375,0.0018990514232000155,0.011808713899085489
2020-05-27,2,34,3,39,0.0769230769230769,0.0512820512820512,0.8717948717948718,2020-05-27,281.3840637207031,0.01232060424478254,0.010074681302758891
2020-05-28,5,43,12,60,0.2,0.0833333333333333,0.7166666666666667,2020-05-28,280.8649597167969,0.014879011105296991,0.009287564848779307
2020-05-29,2,12,1,15,0.0666666666666666,0.1333333333333333,0.8,2020-05-29,282.1164245605469,-0.0018448237510049204,0.0070524121902561165
2020-06-01,0,12,1,13,0.0769230769230769,0.0,0.9230769230769232,2020-06-01,283.2566833496094,0.004455752846534766,0.00677457118201631
2020-06-02,3,55,18,76,0.2368421052631578,0.0394736842105263,0.7236842105263158,2020-06-02,285.60198974609375,0.004041802212822798,0.0061601072037718975
2020-06-03,4,49,2,55,0.0363636363636363,0.0727272727272727,0.8909090909090909,2020-06-03,289.4028625488281,0.008279791914352463,0.005606916130851486
2020-06-04,4,81,17,102,0.1666666666666666,0.0392156862745098,0.7941176470588235,2020-06-04,288.6427001953125,0.013308285443366152,0.005872724915056503
2020-06-05,7,103,41,151,0.271523178807947,0.0463576158940397,0.6821192052980133,2020-06-05,296.04046630859375,-0.0026266580324075806,0.010638886752316723
2020-06-08,3,4,5,12,0.4166666666666667,0.25,0.3333333333333333,2020-06-08,299.6189270019531,0.02562949317019103,0.010161879738883238
2020-06-09,4,25,15,44,0.3409090909090909,0.0909090909090909,0.5681818181818182,2020-06-09,297.3847351074219,0.012087741713084466,0.013297997086577364
2020-06-10,2,8,7,17,0.4117647058823529,0.1176470588235294,0.4705882352941176,2020-06-10,295.7253112792969,-0.007456778237900474,0.014136396552904383
2020-06-11,0,26,12,38,0.3157894736842105,0.0,0.6842105263157895,2020-06-11,278.6770324707031,-0.005580057185939902,0.031605972719841884
2020-06-12,1,32,3,36,0.0833333333333333,0.0277777777777777,0.8888888888888888,2020-06-12,282.014404296875,-0.05764903496032692,0.028569894467227
2020-06-15,1,5,4,10,0.4,0.1,0.5,2020-06-15,284.6472473144531,0.011975769214216614,0.02807652694712184
2020-06-16,0,7,6,13,0.4615384615384615,0.0,0.5384615384615384,2020-06-16,290.1260070800781,0.00933584589107217,0.03103549582806805
2020-06-17,0,16,2,18,0.1111111111111111,0.0,0.8888888888888888,2020-06-17,288.9208984375,0.019247541711065796,0.031030031637706
2020-06-18,5,29,13,47,0.2765957446808511,0.1063829787234042,0.6170212765957447,2020-06-18,289.0321044921875,-0.004153742212588019,0.009323909882560991
2020-06-19,3,12,5,20,0.25,0.15,0.6,2020-06-19,287.38031005859375,0.0003849013875039109,0.01042507440145434
2020-06-22,1,15,7,23,0.3043478260869565,0.0434782608695652,0.6521739130434783,2020-06-22,289.22393798828125,-0.005714916813465587,0.010115993717396075
2020-06-23,0,23,7,30,0.2333333333333333,0.0,0.7666666666666667,2020-06-23,290.5553283691406,0.006415289653322498,0.005290022238028196
2020-06-24,1,6,3,10,0.3,0.1,0.6,2020-06-24,283.1436767578125,0.004603320147426038,0.012915841806915218
2020-06-25,3,20,7,30,0.2333333333333333,0.1,0.6666666666666666,2020-06-25,286.1792297363281,-0.025508572336047086,0.01451415149410163
2020-06-26,2,8,4,14,0.2857142857142857,0.1428571428571428,0.5714285714285714,2020-06-26,279.38201904296875,0.010720892704632501,0.017611302140929333
2020-06-29,0,22,8,30,0.2666666666666666,0.0,0.7333333333333333,2020-06-29,283.4882507324219,-0.02375158637341357,0.019319343165517495
2020-06-30,2,21,5,28,0.1785714285714285,0.0714285714285714,0.75,2020-06-30,287.1195373535156,0.014697551773443118,0.020527518606846765
2020-07-01,5,28,8,41,0.1951219512195122,0.1219512195121951,0.6829268292682927,2020-07-01,289.1308288574219,0.01280930201414665,0.01593701650316192
2020-07-02,6,10,5,21,0.238095238095238,0.2857142857142857,0.4761904761904761,2020-07-02,290.7230224609375,0.00700506667865608,0.015578078352042262
2020-07-06,5,11,2,18,0.1111111111111111,0.2777777777777778,0.6111111111111112,2020-07-06,295.2109375,0.005506827514062174,0.004547692729557541
2020-07-07,0,7,0,7,0.0,0.0,1.0,2020-07-07,292.1662292480469,0.015437081663064678,0.010034624842420594
2020-07-08,1,6,3,10,0.3,0.1,0.6,2020-07-08,294.4009094238281,-0.010313670210654435,0.009416974147978492
2020-07-09,3,16,2,21,0.0952380952380952,0.1428571428571428,0.7619047619047619,2020-07-09,292.7249450683594,0.007648660084817793,0.010419073425041305
2020-07-10,1,15,3,19,0.1578947368421052,0.0526315789473684,0.7894736842105263,2020-07-10,295.7138366699219,-0.005692796121957611,0.0109550598153689
2020-07-13,1,15,4,20,0.2,0.05,0.75,2020-07-13,293.1532897949219,0.010210580450752182,0.009581871915585382
2020-07-14,2,19,2,23,0.0869565217391304,0.0869565217391304,0.8260869565217391,2020-07-14,296.9521484375,-0.008658867315221697,0.00979592186942636
2020-07-15,2,23,6,31,0.1935483870967742,0.064516129032258,0.7419354838709677,2020-07-15,299.6803283691406,0.012958608259984628,0.009989204239242776
2020-07-16,1,9,2,12,0.1666666666666666,0.0833333333333333,0.75,2020-07-16,298.6934509277344,0.009187271235435501,0.009475485057514626
2020-07-17,2,18,3,23,0.1304347826086956,0.0869565217391304,0.782608695652174,2020-07-17,299.559326171875,-0.003293100507386737,0.00883559900512699
2020-07-20,0,1,2,3,0.6666666666666666,0.0,0.3333333333333333,2020-07-20,301.9801940917969,0.0028988758924952673,0.006302507359695515
2020-07-21,1,6,2,9,0.2222222222222222,0.1111111111111111,0.6666666666666666,2020-07-21,302.62274169921875,0.00808143064967659,0.005031743133379938
2020-07-22,3,12,1,16,0.0625,0.1875,0.75,2020-07-22,304.3452453613281,0.0021277806293036328,0.00428340032346265
2020-07-23,5,46,4,55,0.0727272727272727,0.0909090909090909,0.8363636363636363,2020-07-23,300.7139587402344,0.005691917442944172,0.00780325316915234
2020-07-24,1,12,2,15,0.1333333333333333,0.0666666666666666,0.8,2020-07-24,298.77716064453125,-0.01193147149968643,0.008438837402078611
2020-07-27,4,63,16,83,0.1927710843373494,0.0481927710843373,0.7590361445783133,2020-07-27,300.9560241699219,-0.006440665753651209,0.008243547940004124
2020-07-28,5,29,5,39,0.1282051282051282,0.1282051282051282,0.7435897435897436,2020-07-28,299.0472717285156,0.0072926040286691585,0.008398344247338785
2020-07-29,3,36,10,49,0.2040816326530612,0.0612244897959183,0.7346938775510204,2020-07-29,302.72515869140625,-0.006342296841111095,0.010286607921201285
2020-07-30,0,10,6,16,0.375,0.0,0.625,2020-07-30,301.64495849609375,0.012298680879555102,0.008613642606108779
2020-07-31,1,8,4,13,0.3076923076923077,0.0769230769230769,0.6153846153846154,2020-07-31,304.0286865234375,-0.003568253791597309,0.00803137055279319
2020-08-03,1,20,5,26,0.1923076923076923,0.0384615384615384,0.7692307692307693,2020-08-03,306.142333984375,0.007902429529166533,0.007992702316752106
2020-08-04,0,25,5,30,0.1666666666666666,0.0,0.8333333333333334,2020-08-04,307.3248291015625,0.006952131672530726,0.005895258285300288
2020-08-05,1,13,4,18,0.2222222222222222,0.0555555555555555,0.7222222222222222,2020-08-05,309.23358154296875,0.003862566479446272,0.0046303220672905925
2020-08-06,1,29,5,35,0.1428571428571428,0.0285714285714285,0.8285714285714286,2020-08-06,311.30072021484375,0.0062108631020354466,0.001507278135295572
2020-08-07,1,16,6,23,0.2608695652173913,0.0434782608695652,0.6956521739130435,2020-08-07,311.5242004394531,0.006684716005165736,0.0026305932469483703
2020-08-10,2,16,6,24,0.25,0.0833333333333333,0.6666666666666666,2020-08-10,312.455322265625,0.0007178917686252451,0.00244263061707282
2020-08-11,0,6,5,11,0.4545454545454545,0.0,0.5454545454545454,2020-08-11,309.8760986328125,0.0029889229307333842,0.0060603726688332965
2020-08-12,4,9,12,25,0.48,0.16,0.36,2020-08-12,314.19659423828125,-0.008254695788538546,0.008138828133957313
2020-08-13,1,9,5,15,0.3333333333333333,0.0666666666666666,0.6,2020-08-13,313.6285095214844,0.013942655224236322,0.00812009955975444
2020-08-14,4,69,13,86,0.1511627906976744,0.0465116279069767,0.8023255813953488,2020-08-14,313.63787841796875,-0.0018080549796349876,0.008142831823925296
2020-08-17,1,32,7,40,0.175,0.025,0.8,2020-08-17,314.6341247558594,2.9872591935875548e-05,0.008152521184944207
2020-08-18,7,33,8,48,0.1666666666666666,0.1458333333333333,0.6875,2020-08-18,315.3138732910156,0.003176422257782807,0.0061474669565298274
2020-08-19,3,34,6,43,0.1395348837209302,0.0697674418604651,0.7906976744186046,2020-08-19,314.0009460449219,0.0021604412289470964,0.0029703415219937213
2020-08-20,4,30,4,38,0.1052631578947368,0.1052631578947368,0.7894736842105263,2020-08-20,314.9786682128906,-0.004163874023018321,0.0030848314271467977
2020-08-21,0,11,1,12,0.0833333333333333,0.0,0.9166666666666666,2020-08-21,316.09600830078125,0.0031137554847648907,0.0032442092432396477
