day,negative,neutral,positive,total,positive_ratio,negative_ratio,neutral_ratio
2017-04-19,0,3,0,3,0.0,0.0,1.0
2017-04-20,1,2,1,4,0.25,0.25,0.5
2017-04-21,2,3,0,5,0.0,0.4,0.6
2017-04-22,0,8,2,10,0.2,0.0,0.8
2017-04-23,1,4,2,7,0.2857142857142857,0.14285714285714285,0.5714285714285714
2017-04-24,1,4,1,6,0.16666666666666666,0.16666666666666666,0.6666666666666666
2017-04-25,1,4,0,5,0.0,0.2,0.8
2017-04-26,2,6,1,9,0.1111111111111111,0.2222222222222222,0.6666666666666666
2017-04-27,2,8,2,12,0.16666666666666666,0.16666666666666666,0.6666666666666666
2017-04-28,1,2,1,4,0.25,0.25,0.5
2017-04-29,0,3,2,5,0.4,0.0,0.6
2017-04-30,0,3,2,5,0.4,0.0,0.6
2017-05-01,0,2,0,2,0.0,0.0,1.0
2017-05-02,1,3,0,4,0.0,0.25,0.75
2017-05-03,0,2,2,4,0.5,0.0,0.5
2017-05-04,1,7,2,10,0.2,0.1,0.7
2017-05-05,0,3,6,9,0.6666666666666666,0.0,0.3333333333333333
2017-05-06,0,1,0,1,0.0,0.0,1.0
2017-05-07,1,4,1,6,0.16666666666666666,0.16666666666666666,0.6666666666666666
2017-05-08,0,9,1,10,0.1,0.0,0.9
2017-05-09,0,0,2,2,1.0,0.0,0.0
2017-05-10,2,8,1,11,0.09090909090909091,0.18181818181818182,0.7272727272727273
2017-05-11,0,5,1,6,0.16666666666666666,0.0,0.8333333333333334
2017-05-12,0,8,1,9,0.1111111111111111,0.0,0.8888888888888888
2017-05-13,0,2,0,2,0.0,0.0,1.0
2017-05-14,0,0,1,1,1.0,0.0,0.0
2017-05-15,0,1,0,1,0.0,0.0,1.0
2017-05-16,0,5,1,6,0.16666666666666666,0.0,0.8333333333333334
2017-05-17,0,0,1,1,1.0,0.0,0.0
2017-05-18,0,4,0,4,0.0,0.0,1.0
2017-05-19,0,1,1,2,0.5,0.0,0.5
2017-05-20,0,1,1,2,0.5,0.0,0.5
2017-05-21,0,2,0,2,0.0,0.0,1.0
2017-05-22,0,2,0,2,0.0,0.0,1.0
2017-05-23,0,4,0,4,0.0,0.0,1.0
2017-05-24,0,2,0,2,0.0,0.0,1.0
2017-05-25,0,2,2,4,0.5,0.0,0.5
2017-05-26,1,2,1,4,0.25,0.25,0.5
2017-05-27,0,6,1,7,0.14285714285714285,0.0,0.8571428571428571
2017-05-28,0,10,2,12,0.16666666666666666,0.0,0.8333333333333334
2017-05-29,0,5,1,6,0.16666666666666666,0.0,0.8333333333333334
2017-05-30,1,4,0,5,0.0,0.2,0.8
